catalogNumber	Title	bibliographicCitation	identifier	creator
597718369	Dinomyces arenysensis gen. et sp. nov. (Rhizophydiales, Dinomycetaceae fam. nov.), a Chytrid Infecting Marine Dinoflagellates	Protist 165 (2), 230-244 (2014)	10.1016/j.protis.2014.02.004	Lepelletier,F. Karpov,S.A. Alacid,E. Le Panse,S. Bigeard,E. Garces,E. Jeanthon,C. Guillou,L.
597718370	Dinomyces arenysensis gen. et sp. nov. (Rhizophydiales, Dinomycetaceae fam. nov.), a Chytrid Infecting Marine Dinoflagellates	Protist 165 (2), 230-244 (2014)	10.1016/j.protis.2014.02.004	Lepelletier,F. Karpov,S.A. Alacid,E. Le Panse,S. Bigeard,E. Garces,E. Jeanthon,C. Guillou,L.
597718371	Dinomyces arenysensis gen. et sp. nov. (Rhizophydiales, Dinomycetaceae fam. nov.), a Chytrid Infecting Marine Dinoflagellates	Protist 165 (2), 230-244 (2014)	10.1016/j.protis.2014.02.004	Lepelletier,F. Karpov,S.A. Alacid,E. Le Panse,S. Bigeard,E. Garces,E. Jeanthon,C. Guillou,L.
44935869	Direct submission	Unpublished	NA	James,T.Y.
619310708	Direct submission	Unpublished	NA	Jeronimo,G.H. Marano,A.V. de Souza,J.I. Jesus,A.L. Boro,M.C. Rocha,S.C.O. James,T.Y. Pires-Zottarelli,C.L.A.
619310750	Direct submission	Unpublished	NA	Jeronimo,G.H. Marano,A.V. de Souza,J.I. Jesus,A.L. Boro,M.C. Rocha,S.C.O. James,T.Y. Pires-Zottarelli,C.L.A.
1185663358	Direct submission	Unpublished	NA	Wang,Y.
1185663360	Direct submission	Unpublished	NA	Wang,Y.
1185663369	Direct submission	Unpublished	NA	Wang,Y.
1185663371	Direct submission	Unpublished	NA	Wang,Y.
1185663372	Direct submission	Unpublished	NA	Wang,Y.
1185663382	Direct submission	Unpublished	NA	Wang,Y.
1185663434	Direct submission	Unpublished	NA	Wang,Y.
1185663449	Direct submission	Unpublished	NA	Wang,Y.
1185663499	Direct submission	Unpublished	NA	Wang,Y.
1185663508	Direct submission	Unpublished	NA	Wang,Y.
1185663676	Direct submission	Unpublished	NA	Wang,Y.
1185663687	Direct submission	Unpublished	NA	Wang,Y.
1185663689	Direct submission	Unpublished	NA	Wang,Y.
1185663743	Direct submission	Unpublished	NA	Wang,Y.
1185663792	Direct submission	Unpublished	NA	Wang,Y.
1273063774	Direct submission	Unpublished	NA	Brakel,J.
1273063775	Direct submission	Unpublished	NA	Brakel,J.
1540602777	Direct submission	Unpublished	NA	Letcher,P.M.
1540602779	Direct submission	Unpublished	NA	Letcher,P.M.
1607220047	Direct submission	Unpublished	NA	Guillou,L. Strittmatter,M.
2124747388	Direct submission	Unpublished	NA	Chen,T.
2177203077	Direct submission	Unpublished	NA	LaButti,K. Clum,A. Grigoriev,I. Barry,K. Ng,V.
2177203080	Direct submission	Unpublished	NA	LaButti,K. Clum,A. Grigoriev,I. Barry,K. Ng,V.
30230496	Direct submission	Unpublished	NA	Salomon,P.S. Janson,S. Graneli,E.
1547054788	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054789	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054790	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054791	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054792	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054793	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054794	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054795	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054796	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054797	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054798	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054799	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054800	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054801	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054802	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054803	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054804	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054805	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054806	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054807	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054808	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054809	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054810	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054811	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054812	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054813	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1547054814	Distribution and genetic diversity of the parasitic dinoflagellate Amoebophrya in coastal waters of China	Harmful Algae 89, 101633 (2019)	10.1016/j.hal.2019.101633	Chen,T. Xiao,J. Liu,Y. Song,S. Li,C.
1290271192	Diversity and Hidden Host Specificity of Chytrids infecting Colonial Volvocacean Algae	J. Eukaryot. Microbiol., 65: 870-881 (2018)	10.1111/jeu.12632	Van den Wyngaert,S. Rojas-Jimenez,K. Seto,K. Kagami,M. Grossart,H.P.
1290271193	Diversity and Hidden Host Specificity of Chytrids infecting Colonial Volvocacean Algae	J. Eukaryot. Microbiol., 65: 870-881 (2018)	10.1111/jeu.12632	Van den Wyngaert,S. Rojas-Jimenez,K. Seto,K. Kagami,M. Grossart,H.P.
1290271194	Diversity and Hidden Host Specificity of Chytrids infecting Colonial Volvocacean Algae	J. Eukaryot. Microbiol., 65: 870-881 (2018)	10.1111/jeu.12632	Van den Wyngaert,S. Rojas-Jimenez,K. Seto,K. Kagami,M. Grossart,H.P.
1290271195	Diversity and Hidden Host Specificity of Chytrids infecting Colonial Volvocacean Algae	J. Eukaryot. Microbiol., 65: 870-881 (2018)	10.1111/jeu.12632	Van den Wyngaert,S. Rojas-Jimenez,K. Seto,K. Kagami,M. Grossart,H.P.
1290271196	Diversity and Hidden Host Specificity of Chytrids infecting Colonial Volvocacean Algae	J. Eukaryot. Microbiol., 65: 870-881 (2018)	10.1111/jeu.12632	Van den Wyngaert,S. Rojas-Jimenez,K. Seto,K. Kagami,M. Grossart,H.P.
1290271197	Diversity and Hidden Host Specificity of Chytrids infecting Colonial Volvocacean Algae	J. Eukaryot. Microbiol., 65: 870-881 (2018)	10.1111/jeu.12632	Van den Wyngaert,S. Rojas-Jimenez,K. Seto,K. Kagami,M. Grossart,H.P.
1835856630	Diversity of Blastocladiomycota, Chytridiomycota and Monoblepharidomycota from Atlantic Rainforest area, Sao Paulo State, Brazil	Unpublished	NA	Jesus,A.L. Pires-Zottarelli,C.L.
1835946843	Diversity of Blastocladiomycota, Chytridiomycota and Monoblepharidomycota from Atlantic Rainforest area, Sao Paulo State, Brazil	Unpublished	NA	Jesus,A.L. Pires-Zottarelli,C.L.
1836286575	Diversity of Blastocladiomycota, Chytridiomycota and Monoblepharidomycota from Atlantic Rainforest area, Sao Paulo State, Brazil	Unpublished	NA	Jesus,A.L. Pires-Zottarelli,C.L.
532000828	Diversity of thraustochytrid protists isolated from brown alga, Sargassum cinereum using 18S rDNA sequencing and their morphological response to heavy metals	Journal of the Marine Biological Association of the United Kingdom, 2015, 95(2), 265–276.	doi:10.1017/S0025315414001696	Varada S. Damara
532000829	Diversity of thraustochytrid protists isolated from brown alga, Sargassum cinereum using 18S rDNA sequencing and their morphological response to heavy metals	Journal of the Marine Biological Association of the United Kingdom, 2015, 95(2), 265–276.	doi:10.1017/S0025315414001696	Varada S. Damara
532000830	Diversity of thraustochytrid protists isolated from brown alga, Sargassum cinereum using 18S rDNA sequencing and their morphological response to heavy metals	Journal of the Marine Biological Association of the United Kingdom, 2015, 95(2), 265–276.	doi:10.1017/S0025315414001696	Varada S. Damara
532000831	Diversity of thraustochytrid protists isolated from brown alga, Sargassum cinereum using 18S rDNA sequencing and their morphological response to heavy metals	Journal of the Marine Biological Association of the United Kingdom, 2015, 95(2), 265–276.	doi:10.1017/S0025315414001696	Varada S. Damara
532000832	Diversity of thraustochytrid protists isolated from brown alga, Sargassum cinereum using 18S rDNA sequencing and their morphological response to heavy metals	Journal of the Marine Biological Association of the United Kingdom, 2015, 95(2), 265–276.	doi:10.1017/S0025315414001696	Varada S. Damara
532000833	Diversity of thraustochytrid protists isolated from brown alga, Sargassum cinereum using 18S rDNA sequencing and their morphological response to heavy metals	Journal of the Marine Biological Association of the United Kingdom, 2015, 95(2), 265–276.	doi:10.1017/S0025315414001696	Varada S. Damara
338798157	DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer	Mol Ecol Resour (2011) 11 (6): 1002-1010	10.1111/j.1755-0998.2011.03041.x	Robideau,G.P. De Cock,A.W. Coffey,M.D. Voglmayr,H. Brouwer,H. Bala,K. Chitty,D.W. Desaulniers,N. Eggertson,Q.A. Gachon,C.M. Hu,C.H. Kupper,F.C. Rintoul,T.L. Sarhan,E. Verstappen,E.C. Zhang,Y. Bonants,P.J. Ristaino,J.B. Andre Levesque,C.
338798246	DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer	Mol Ecol Resour (2011) 11 (6): 1002-1010	10.1111/j.1755-0998.2011.03041.x	Robideau,G.P. De Cock,A.W. Coffey,M.D. Voglmayr,H. Brouwer,H. Bala,K. Chitty,D.W. Desaulniers,N. Eggertson,Q.A. Gachon,C.M. Hu,C.H. Kupper,F.C. Rintoul,T.L. Sarhan,E. Verstappen,E.C. Zhang,Y. Bonants,P.J. Ristaino,J.B. Andre Levesque,C.
1605376505	Ectrogella' Parasitoids of the Diatom Licmophora sp. Are Polyphyletic	Journal of Eukaryotic Microbiology (2020) 67(1), 18-27.	10.1111/jeu.12750	Garvetto,A. Perrineau,M.M. Dressler-Allame,M. Bresnan,E. Gachon,C.M.M.
1605376506	Ectrogella' Parasitoids of the Diatom Licmophora sp. Are Polyphyletic	Journal of Eukaryotic Microbiology (2020) 67(1), 18-27.	10.1111/jeu.12750	Garvetto,A. Perrineau,M.M. Dressler-Allame,M. Bresnan,E. Gachon,C.M.M.
1605376507	Ectrogella' Parasitoids of the Diatom Licmophora sp. Are Polyphyletic	Journal of Eukaryotic Microbiology (2020) 67(1), 18-27.	10.1111/jeu.12750	Garvetto,A. Perrineau,M.M. Dressler-Allame,M. Bresnan,E. Gachon,C.M.M.
1605376508	Ectrogella' Parasitoids of the Diatom Licmophora sp. Are Polyphyletic	Journal of Eukaryotic Microbiology (2020) 67(1), 18-27.	10.1111/jeu.12750	Garvetto,A. Perrineau,M.M. Dressler-Allame,M. Bresnan,E. Gachon,C.M.M.
1605376509	Ectrogella' Parasitoids of the Diatom Licmophora sp. Are Polyphyletic	Journal of Eukaryotic Microbiology (2020) 67(1), 18-27.	10.1111/jeu.12750	Garvetto,A. Perrineau,M.M. Dressler-Allame,M. Bresnan,E. Gachon,C.M.M.
1605376510	Ectrogella' Parasitoids of the Diatom Licmophora sp. Are Polyphyletic	Journal of Eukaryotic Microbiology (2020) 67(1), 18-27.	10.1111/jeu.12750	Garvetto,A. Perrineau,M.M. Dressler-Allame,M. Bresnan,E. Gachon,C.M.M.
1605376511	Ectrogella' Parasitoids of the Diatom Licmophora sp. Are Polyphyletic	Journal of Eukaryotic Microbiology (2020) 67(1), 18-27.	10.1111/jeu.12750	Garvetto,A. Perrineau,M.M. Dressler-Allame,M. Bresnan,E. Gachon,C.M.M.
1605376512	Ectrogella' Parasitoids of the Diatom Licmophora sp. Are Polyphyletic	Journal of Eukaryotic Microbiology (2020) 67(1), 18-27.	10.1111/jeu.12750	Garvetto,A. Perrineau,M.M. Dressler-Allame,M. Bresnan,E. Gachon,C.M.M.
2281410970	Eelgrass (Zostera spp.) associated phytomyxids are host-specific congeneric parasites and predominant eukaryotes in the eelgrass rhizosphere on a global scale	Env. Microb. 25(8), 1522-1537 (2023)	10.1111/1462-2920.16376	Kolatkova,V. Mooney,M. Kelly,K. Hineva,E. Gawryluk,R.M.R. Elliott,J.
1697204938	Enigmatic Phytomyxid Parasite of the Alien Seagrass Halophila stipulacea: New Insights into Its Ecology, Phylogeny, and Distribution in the Mediterranean Sea	Microb. Ecol. 79 (3), 631-643 (2020)	10.1007/s00248-019-01450-3	Kolatkova,V. Cepicka,I. Gargiulo,G.M. Vohnik,M.
2086101617	Evaluating the diversity of the enigmatic fungal phylum Cryptomycota across habitats using 18S rRNA metabarcoding	Fungal ecol. 101248 (64), 2023	https://doi.org/10.1016/j.funeco.2023.101248	Quandt,C.A. Marino,J.A. Simmons,D.R. Davis,W.J. HJassett,B.T. Picard,K.T. James,T.Y.
2086101621	Evaluating the diversity of the enigmatic fungal phylum Cryptomycota across habitats using 18S rRNA metabarcoding	Fungal ecol. 101248 (64), 2023	https://doi.org/10.1016/j.funeco.2023.101248	Quandt,C.A. Marino,J.A. Simmons,D.R. Davis,W.J. HJassett,B.T. Picard,K.T. James,T.Y.
2086101715	Evaluating the diversity of the enigmatic fungal phylum Cryptomycota across habitats using 18S rRNA metabarcoding	Fungal ecol. 101248 (64), 2023	https://doi.org/10.1016/j.funeco.2023.101248	Quandt,C.A. Marino,J.A. Simmons,D.R. Davis,W.J. HJassett,B.T. Picard,K.T. James,T.Y.
2086101716	Evaluating the diversity of the enigmatic fungal phylum Cryptomycota across habitats using 18S rRNA metabarcoding	Fungal ecol. 101248 (64), 2023	https://doi.org/10.1016/j.funeco.2023.101248	Quandt,C.A. Marino,J.A. Simmons,D.R. Davis,W.J. HJassett,B.T. Picard,K.T. James,T.Y.
13172261	Evidence for multiple species within the endoparasitic dinoflagellate Amoebophrya ceratii as based on 18S rRNA gene-sequence analysis	Parasitol. Res. 86 (11), 929-933 (2000)	10.1007/s004360000272	Janson,S. Gisselson,L.A. Salomon,P.S. Graneli,E.
290760476	Evolutionary relationships among marine cercozoans as inferred from combined SSU and LSU rDNA sequences and polyubiquitin insertions	Mol. Phylogenet. Evol. 57 (2), 518-527 (2010)	10.1016/j.ympev.2010.07.007	Chantangsi,C. Hoppenrath,M. Leander,B.S.
290760480	Evolutionary relationships among marine cercozoans as inferred from combined SSU and LSU rDNA sequences and polyubiquitin insertions	Mol. Phylogenet. Evol. 57 (2), 518-527 (2010)	10.1016/j.ympev.2010.07.007	Chantangsi,C. Hoppenrath,M. Leander,B.S.
1248939538	Evolutionary Trends of Perkinsozoa (Alveolata) Characters Based on Observations of Two New Genera of Parasitoids of dinoflagellates, Dinovorax gen. nov. and Snorkelia gen. nov	Front Microbiol 8, 1594 (2017)	10.3389/fmicb.2017.01594	Rene,A. Alacid,E. Ferrera,I. Garces,E.
1248939539	Evolutionary Trends of Perkinsozoa (Alveolata) Characters Based on Observations of Two New Genera of Parasitoids of dinoflagellates, Dinovorax gen. nov. and Snorkelia gen. nov	Front Microbiol 8, 1594 (2017)	10.3389/fmicb.2017.01594	Rene,A. Alacid,E. Ferrera,I. Garces,E.
1248939540	Evolutionary Trends of Perkinsozoa (Alveolata) Characters Based on Observations of Two New Genera of Parasitoids of dinoflagellates, Dinovorax gen. nov. and Snorkelia gen. nov	Front Microbiol 8, 1594 (2017)	10.3389/fmicb.2017.01594	Rene,A. Alacid,E. Ferrera,I. Garces,E.
1248939541	Evolutionary Trends of Perkinsozoa (Alveolata) Characters Based on Observations of Two New Genera of Parasitoids of dinoflagellates, Dinovorax gen. nov. and Snorkelia gen. nov	Front Microbiol 8, 1594 (2017)	10.3389/fmicb.2017.01594	Rene,A. Alacid,E. Ferrera,I. Garces,E.
1248939542	Evolutionary Trends of Perkinsozoa (Alveolata) Characters Based on Observations of Two New Genera of Parasitoids of dinoflagellates, Dinovorax gen. nov. and Snorkelia gen. nov	Front Microbiol 8, 1594 (2017)	10.3389/fmicb.2017.01594	Rene,A. Alacid,E. Ferrera,I. Garces,E.
1248939543	Evolutionary Trends of Perkinsozoa (Alveolata) Characters Based on Observations of Two New Genera of Parasitoids of dinoflagellates, Dinovorax gen. nov. and Snorkelia gen. nov	Front Microbiol 8, 1594 (2017)	10.3389/fmicb.2017.01594	Rene,A. Alacid,E. Ferrera,I. Garces,E.
1248939544	Evolutionary Trends of Perkinsozoa (Alveolata) Characters Based on Observations of Two New Genera of Parasitoids of dinoflagellates, Dinovorax gen. nov. and Snorkelia gen. nov	Front Microbiol 8, 1594 (2017)	10.3389/fmicb.2017.01594	Rene,A. Alacid,E. Ferrera,I. Garces,E.
1248939545	Evolutionary Trends of Perkinsozoa (Alveolata) Characters Based on Observations of Two New Genera of Parasitoids of dinoflagellates, Dinovorax gen. nov. and Snorkelia gen. nov	Front Microbiol 8, 1594 (2017)	10.3389/fmicb.2017.01594	Rene,A. Alacid,E. Ferrera,I. Garces,E.
1399734341	Examining Arbuscular Mycorrhizal Fungi in Saltmarsh Hay (Spartina patens) and Smooth Cordgrass (Spartina alterniflora) in the Minas Basin, Nova Scotia	Northeast Nat (Steuben) 25 (1), 72-86 (2018)	https://doi.org/10.1656/045.025.0107	d'Entremont,T.W. Lopez-Gutierrez,J.C. Walker,A.K.
254933824	Expressed sequence tags from Amoebophrya sp. infecting Karlodinium veneficum: comparing host and parasite sequences	J. Eukaryot. Microbiol. 56 (6), 531-541 (2009)	10.1111/j.1550-7408.2009.00433.x	Bachvaroff,T.R. Place,A.R. Coats,D.W.
626436286	Finding needles in haystacks: linking scientific names, reference specimens and molecular data for Fungi	Database (Oxford) 2014 (2014)	10.1093/database/bau061	Schoch,C.L. Robbertse,B. Robert,V. Vu,D. Cardinali,G. Irinyi,L. Meyer,W. Nilsson,R.H. Hughes,K. Miller,A.N. Kirk,P.M. Abarenkov,K. Aime,M.C. Ariyawansa,H.A. Bidartondo,M. Boekhout,T. Buyck,B. Cai,Q. Chen,J. Crespo,A. Crous,P.W. Damm,U. De Beer,Z.W. Dentinger,B.T. Divakar,P.K. Duenas,M. Feau,N. Fliegerova,K. Garcia,M.A. Ge,Z.W. Griffith,G.W. Groenewald,J.Z. Groenewald,M. Grube,M. Gryzenhout,M. Gueidan,C. Guo,L. Hambleton,S. Hamelin,R. Hansen,K. Hofstetter,V. Hong,S.B. Houbraken,J. Hyde,K.D. Inderbitzin,P. Johnston,P.R. Karunarathna,S.C. Koljalg,U. Kovacs,G.M. Kraichak,E. Krizsan,K. Kurtzman,C.P. Larsson,K.H. Leavitt,S. Letcher,P.M. Liimatainen,K. Liu,J.K. Lodge,D.J. Luangsa-ard,J.J. Lumbsch,H.T. Maharachchikumbura,S.S. Manamgoda,D. Martin,M.P. Minnis,A.M. Moncalvo,J.M. Mule,G. Nakasone,K.K. Niskanen,T. Olariaga,I. Papp,T. Petkovits,T. Pino-Bodas,R. Powell,M.J. Raja,H.A. Redecker,D. Sarmiento-Ramirez,J.M. Seifert,K.A. Shrestha,B. Stenroos,S. Stielow,B. Suh,S.O. Tanaka,K. Tedersoo,L. Telleria,M.T. Udayanga,D. Untereiner,W.A. Dieguez Uribeondo,J. Subbarao,K.V. Vagvolgyi,C. Visagie,C. Voigt,K. Walker,D.M. Weir,B.S. Weiss,M. Wijayawardene,N.N. Wingfield,M.J. Xu,J.P. Yang,Z.L. Zhang,N. Zhuang,W.Y. Federhen,S.
626467656	Finding needles in haystacks: linking scientific names, reference specimens and molecular data for Fungi	Database (Oxford) 2014 (2014)	10.1093/database/bau061	Schoch,C.L. Robbertse,B. Robert,V. Vu,D. Cardinali,G. Irinyi,L. Meyer,W. Nilsson,R.H. Hughes,K. Miller,A.N. Kirk,P.M. Abarenkov,K. Aime,M.C. Ariyawansa,H.A. Bidartondo,M. Boekhout,T. Buyck,B. Cai,Q. Chen,J. Crespo,A. Crous,P.W. Damm,U. De Beer,Z.W. Dentinger,B.T. Divakar,P.K. Duenas,M. Feau,N. Fliegerova,K. Garcia,M.A. Ge,Z.W. Griffith,G.W. Groenewald,J.Z. Groenewald,M. Grube,M. Gryzenhout,M. Gueidan,C. Guo,L. Hambleton,S. Hamelin,R. Hansen,K. Hofstetter,V. Hong,S.B. Houbraken,J. Hyde,K.D. Inderbitzin,P. Johnston,P.R. Karunarathna,S.C. Koljalg,U. Kovacs,G.M. Kraichak,E. Krizsan,K. Kurtzman,C.P. Larsson,K.H. Leavitt,S. Letcher,P.M. Liimatainen,K. Liu,J.K. Lodge,D.J. Luangsa-ard,J.J. Lumbsch,H.T. Maharachchikumbura,S.S. Manamgoda,D. Martin,M.P. Minnis,A.M. Moncalvo,J.M. Mule,G. Nakasone,K.K. Niskanen,T. Olariaga,I. Papp,T. Petkovits,T. Pino-Bodas,R. Powell,M.J. Raja,H.A. Redecker,D. Sarmiento-Ramirez,J.M. Seifert,K.A. Shrestha,B. Stenroos,S. Stielow,B. Suh,S.O. Tanaka,K. Tedersoo,L. Telleria,M.T. Udayanga,D. Untereiner,W.A. Dieguez Uribeondo,J. Subbarao,K.V. Vagvolgyi,C. Visagie,C. Voigt,K. Walker,D.M. Weir,B.S. Weiss,M. Wijayawardene,N.N. Wingfield,M.J. Xu,J.P. Yang,Z.L. Zhang,N. Zhuang,W.Y. Federhen,S.
626467757	Finding needles in haystacks: linking scientific names, reference specimens and molecular data for Fungi	Database (Oxford) 2014 (2014)	10.1093/database/bau061	Schoch,C.L. Robbertse,B. Robert,V. Vu,D. Cardinali,G. Irinyi,L. Meyer,W. Nilsson,R.H. Hughes,K. Miller,A.N. Kirk,P.M. Abarenkov,K. Aime,M.C. Ariyawansa,H.A. Bidartondo,M. Boekhout,T. Buyck,B. Cai,Q. Chen,J. Crespo,A. Crous,P.W. Damm,U. De Beer,Z.W. Dentinger,B.T. Divakar,P.K. Duenas,M. Feau,N. Fliegerova,K. Garcia,M.A. Ge,Z.W. Griffith,G.W. Groenewald,J.Z. Groenewald,M. Grube,M. Gryzenhout,M. Gueidan,C. Guo,L. Hambleton,S. Hamelin,R. Hansen,K. Hofstetter,V. Hong,S.B. Houbraken,J. Hyde,K.D. Inderbitzin,P. Johnston,P.R. Karunarathna,S.C. Koljalg,U. Kovacs,G.M. Kraichak,E. Krizsan,K. Kurtzman,C.P. Larsson,K.H. Leavitt,S. Letcher,P.M. Liimatainen,K. Liu,J.K. Lodge,D.J. Luangsa-ard,J.J. Lumbsch,H.T. Maharachchikumbura,S.S. Manamgoda,D. Martin,M.P. Minnis,A.M. Moncalvo,J.M. Mule,G. Nakasone,K.K. Niskanen,T. Olariaga,I. Papp,T. Petkovits,T. Pino-Bodas,R. Powell,M.J. Raja,H.A. Redecker,D. Sarmiento-Ramirez,J.M. Seifert,K.A. Shrestha,B. Stenroos,S. Stielow,B. Suh,S.O. Tanaka,K. Tedersoo,L. Telleria,M.T. Udayanga,D. Untereiner,W.A. Dieguez Uribeondo,J. Subbarao,K.V. Vagvolgyi,C. Visagie,C. Voigt,K. Walker,D.M. Weir,B.S. Weiss,M. Wijayawardene,N.N. Wingfield,M.J. Xu,J.P. Yang,Z.L. Zhang,N. Zhuang,W.Y. Federhen,S.
